round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,active_player,action_type,camel,trap_type,trap_location,player_2_trap_location,player_2_trap_type,bet_type,player_0_trap_location,player_0_trap_type,player_1_trap_location,player_1_trap_type,distance,player_3_trap_location,player_3_trap_type,game_id,player_0_name,player_0_final,player_1_name,player_1_final,player_2_name,player_2_final,player_3_name,player_3_final,winners
17,4,0,True,2,1,True,2,2,True,2,0,True,5,0,True,7,8,2,5,0.0,game_bet,c_3,,,11.0,-1.0,lose,3.0,-1.0,,,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
18,4,0,True,2,1,True,2,2,True,2,0,True,5,0,True,7,8,2,5,1.0,move_trap,,-1.0,7.0,11.0,-1.0,,3.0,-1.0,7.0,-1.0,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
19,4,0,True,2,1,True,2,2,True,2,0,True,5,0,True,7,8,2,5,2.0,round_winner_bet,c_4,,,11.0,-1.0,,3.0,-1.0,7.0,-1.0,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
20,4,0,True,2,1,True,2,2,True,2,0,True,5,0,True,7,8,2,5,3.0,round_winner_bet,c_2,,,11.0,-1.0,,3.0,-1.0,7.0,-1.0,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
21,4,0,True,5,2,True,5,3,True,5,1,False,5,0,True,8,8,2,5,0.0,move_camel,c_3,,,11.0,-1.0,,3.0,-1.0,7.0,-1.0,3.0,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
22,4,0,True,5,2,True,5,3,True,5,1,False,5,0,True,8,8,2,5,1.0,round_winner_bet,c_1,,,11.0,-1.0,,3.0,-1.0,7.0,-1.0,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
23,4,0,True,5,2,True,5,3,True,5,1,False,5,0,True,8,8,2,5,2.0,round_winner_bet,c_2,,,11.0,-1.0,,3.0,-1.0,7.0,-1.0,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
24,4,0,True,5,2,True,5,3,True,5,1,False,5,0,True,8,8,2,5,3.0,game_bet,c_0,,,11.0,-1.0,lose,3.0,-1.0,7.0,-1.0,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
25,4,0,True,5,2,True,5,3,True,5,1,False,5,0,True,8,8,2,5,0.0,game_bet,c_0,,,11.0,-1.0,lose,3.0,-1.0,7.0,-1.0,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
26,4,0,True,5,2,True,5,3,True,5,1,False,5,0,True,8,8,2,5,1.0,round_winner_bet,c_3,,,11.0,-1.0,,3.0,-1.0,7.0,-1.0,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
27,5,4,False,5,2,True,5,3,True,5,1,False,5,0,True,8,8,3,5,2.0,move_camel,c_0,,,11.0,-1.0,,3.0,-1.0,7.0,-1.0,1.0,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
28,5,4,False,5,2,True,5,3,True,5,1,False,5,0,True,8,8,3,5,3.0,round_winner_bet,c_0,,,11.0,-1.0,,3.0,-1.0,7.0,-1.0,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
29,5,4,False,5,2,True,5,3,True,5,1,False,5,0,True,8,8,3,5,0.0,round_winner_bet,c_0,,,11.0,-1.0,,3.0,-1.0,7.0,-1.0,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
30,5,4,False,5,2,True,5,3,True,5,1,False,5,0,True,8,8,3,5,1.0,move_trap,,-1.0,8.0,11.0,-1.0,,3.0,-1.0,8.0,-1.0,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
31,5,4,False,5,2,True,5,3,True,5,1,False,5,0,True,8,8,3,5,2.0,move_trap,,1.0,6.0,6.0,1.0,,3.0,-1.0,8.0,-1.0,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
